Address,Square ft,Sale Date,Price,Beds,Baths
"2221 Electric Ln, Charlotte, NC 28205","2,339",Sold 06/30/2022,"$623,000",3,5
"2221 Electric Ln #LNO0837, Charlotte, NC 28205","2,339",Sold 06/30/2022,"$622,916",3,5
"2229 Electric Ln #LNO0835, Charlotte, NC 28205","1,583",Sold 06/30/2022,"$505,000",2,3
"3630 N Davidson St #2209, Charlotte, NC 28205","1,108",Sold 06/30/2022,"$448,770",2,2
"3630 N Davidson St #3302, Charlotte, NC 28205","1,092",Sold 06/30/2022,"$459,000",2,2
"3630 N Davidson St #4403, Charlotte, NC 28205","1,104",Sold 06/30/2022,"$485,885",2,2
"3630 N Davidson St #4408, Charlotte, NC 28205",742,Sold 06/30/2022,"$301,885",1,1
"3258 Noda Blvd, Charlotte, NC 28205","1,678",Sold 06/29/2022,"$425,000",3,3
"2135 Electric Ln, Charlotte, NC 28205",--,Sold 06/29/2022,"$590,500",--,--
"2147 Electric Ln, Charlotte, NC 28205",--,Sold 06/29/2022,"$516,000",--,--
"2131 Electric Ln, Charlotte, NC 28205",--,Sold 06/29/2022,"$477,000",--,--
"2127 Electric Ln, Charlotte, NC 28205",--,Sold 06/29/2022,"$625,000",--,--
"2143 Electric Ln, Charlotte, NC 28205",--,Sold 06/29/2022,"$612,000",--,--
"2127 Electric Ln #LNO0624, Charlotte, NC 28205","2,339",Sold 06/29/2022,"$625,000",3,5
"2143 Electric Ln #LNO0628, Charlotte, NC 28205","2,339",Sold 06/29/2022,"$611,828",3,5
"2147 Electric Ln #LNO0629, Charlotte, NC 28205","1,691",Sold 06/29/2022,"$516,000",2,3
"2135 Electric Ln #LNO0626, Charlotte, NC 28205","2,339",Sold 06/29/2022,"$590,150",3,5
"3630 N Davidson St #2211, Charlotte, NC 28205",762,Sold 06/28/2022,"$308,330",1,1
"3630 N Davidson St #2201, Charlotte, NC 28205","1,481",Sold 06/28/2022,"$584,370",2,3
"3630 N Davidson St #4409, Charlotte, NC 28205","1,108",Sold 06/28/2022,"$458,120",2,2
"3630 N Davidson St #4413, Charlotte, NC 28205",967,Sold 06/28/2022,"$385,565",1,1
"1120 E 36th St, Charlotte, NC 28205","2,085",Sold 06/24/2022,"$535,000",2,4
"700 Charles Ave, Charlotte, NC 28205",956,Sold 06/23/2022,"$469,900",2,2
