Address,Square ft,Sale Date,Price,Beds,Baths
"2034 Pinewood Cres, Charlotte, NC 28211","4,301",Sold 10/28/2022,$1.93M,5,5
"2034 Pinewood Cir, Charlotte, NC 28211","4,301",Sold 10/28/2022,$1.93M,5,5
"8401 Harris Rd, Charlotte, NC 28211","2,123",Sold 10/28/2022,"$446,000",3,3
"1901 Shoreham Dr, Charlotte, NC 28211","5,395",Sold 10/26/2022,$2.51M,4,6
"1701 Jameston Dr, Charlotte, NC 28209","1,464",Sold 10/25/2022,$1.09M,3,2
"2615 Portland Ave, Charlotte, NC 28207","2,758",Sold 10/25/2022,$1.48M,4,3
"2719 Selwyn Ave APT 10, Charlotte, NC 28209","1,249",Sold 10/21/2022,"$495,000",3,2
"122 Tranquil Ave, Charlotte, NC 28209","3,529",Sold 10/21/2022,$1.82M,4,5
"221 Hillside Ave, Charlotte, NC 28209","4,233",Sold 10/21/2022,$2.13M,4,5
"3501 Seward Pl, Charlotte, NC 28211","2,936",Sold 10/21/2022,$1.10M,3,3
"3442 Foxcroft Rd, Charlotte, NC 28211","5,804",Sold 10/21/2022,$1.10M,6,2.5
"1610 Queens Rd, Charlotte, NC 28207","1,039",Sold 10/20/2022,"$560,000",1,1
"1610 Queens Rd #4, Charlotte, NC 28209","1,044",Sold 10/20/2022,"$560,000",1,1
"2156 Colony Rd, Charlotte, NC 28209","2,387",Sold 10/20/2022,$1.33M,3,3
"2210 Roswell Ave APT 103, Charlotte, NC 28207","2,762",Sold 10/20/2022,$1.48M,3,3
"2210 Roswell Ave, Charlotte, NC 28207","2,806",Sold 10/20/2022,$1.48M,3,3
"1621 Sterling Rd, Charlotte, NC 28209","5,356",Sold 10/18/2022,$3.33M,5,5
"601 Queens Rd APT D, Charlotte, NC 28207",850,Sold 10/17/2022,"$175,000",2,2
"2611 Forest Dr #2, Charlotte, NC 28211","3,600",Sold 10/14/2022,$1.78M,5,3.5
"2700 Wintergreen Dr, Charlotte, NC 28211","2,079",Sold 10/14/2022,"$890,000",3,2
"1500 Queens Rd #103-A, Charlotte, NC 28207","2,151",Sold 10/14/2022,$1.40M,3,3
"2108 Sherwood Ave, Charlotte, NC 28207","5,858",Sold 10/12/2022,$3.00M,4,5
"901 Harvard Pl, Charlotte, NC 28207","3,818",Sold 10/12/2022,$2.15M,4,3
"2040 Providence Rd, Charlotte, NC 28211","4,346",Sold 10/12/2022,$1.48M,4,6
"2040 Providence Rd #B, Charlotte, NC 28211","4,346",Sold 10/12/2022,$1.48M,4,5
"2222 Selwyn Ave APT 506, Charlotte, NC 28207","1,587",Sold 10/11/2022,"$350,000",2,2
"2834 Chelsea Dr, Charlotte, NC 28209","2,922",Sold 10/11/2022,$1.45M,4,4
"2620 Hampton Ave, Charlotte, NC 28207","3,119",Sold 10/10/2022,$1.55M,4,4
"2021 Hopedale Ave, Charlotte, NC 28207","1,894",Sold 10/04/2022,$3.00M,3,2
"2053 Roswell Ave, Charlotte, NC 28207","4,537",Sold 10/04/2022,$2.20M,6,3.5
"2126 Bucknell Ave, Charlotte, NC 28207","3,976",Sold 10/03/2022,$1.75M,5,5
"2222 Selwyn Ave APT 303, Charlotte, NC 28207","1,625",Sold 09/30/2022,"$425,000",3,2
"2222 Selwyn Ave APT 501, Charlotte, NC 28207","1,559",Sold 09/30/2022,"$425,000",3,2
"2045 Beverly Dr, Charlotte, NC 28207","2,604",Sold 09/30/2022,$1.37M,3,3
"1700 Sterling Rd, Charlotte, NC 28209","3,406",Sold 09/29/2022,$1.71M,4,3
"1120 Chollywood Dr, Charlotte, NC 28211","6,243",Sold 09/29/2022,$1.47M,6,6
"1700 Sterling Rd, Charlotte, NC 28209","3,198",Sold 09/29/2022,$1.71M,4,3
"1633 Beverly Dr, Charlotte, NC 28207","2,488",Sold 09/28/2022,$1.24M,4,2.5
"2650 Hampton Ave, Charlotte, NC 28207","1,938",Sold 09/27/2022,$1.05M,3,3
"2525 Sharon Rd, Charlotte, NC 28211","2,268",Sold 09/27/2022,"$745,000",Studio,4
"2810 Selwyn Ave UNIT 213, Charlotte, NC 28209","1,165",Sold 09/26/2022,"$440,000",2,2
"2241 Colony Rd, Charlotte, NC 28209","2,136",Sold 09/21/2022,$1.00M,4,2
"1436 Queens Rd W, Charlotte, NC 28207","2,600",Sold 09/20/2022,$1.45M,4,2.5
"714 Edgehill Rd N, Charlotte, NC 28207","6,477",Sold 09/20/2022,$2.90M,5,4.5
"2716 Roswell Ave, Charlotte, NC 28209","5,612",Sold 09/20/2022,$2.38M,5,6
"2901 Hillsdale Ave, Charlotte, NC 28209","1,948",Sold 09/20/2022,"$885,000",3,2
"714 Edgehill Rd, Charlotte, NC 28207","6,210",Sold 09/20/2022,$2.90M,6,5
"1323 Queens Rd UNIT 309, Charlotte, NC 28207","1,106",Sold 09/19/2022,"$250,000",2,2
"1919 Shoreham Dr, Charlotte, NC 28211","7,196",Sold 09/16/2022,$1.40M,4,3
"2027 Ferncliff Rd, Charlotte, NC 28211","7,239",Sold 09/16/2022,$4.75M,5,8
"1677 Sterling Rd, Charlotte, NC 28209","3,746",Sold 09/14/2022,$1.80M,5,5
"17005 Dogwood Ln #57, Charlotte, NC 28207","2,868",Sold 09/14/2022,"$581,000",5,3
"1939 Lynnwood Dr, Charlotte, NC 28209",732,Sold 09/13/2022,"$385,000",2,1
"2706 Roswell Ave, Charlotte, NC 28209","3,723",Sold 09/13/2022,$1.90M,5,4
"2810 Selwyn Ave UNIT 202, Charlotte, NC 28209",703,Sold 09/02/2022,"$360,000",1,1
"2600 Hampton Ave, Charlotte, NC 28207","3,386",Sold 08/31/2022,$1.80M,4,3
"255 Queens Rd, Charlotte, NC 28204","1,586",Sold 08/31/2022,"$600,000",2,2
"1333 Queens Rd #E4, Charlotte, NC 28207","2,642",Sold 08/26/2022,$1.48M,3,4
"607 Queens Rd APT B, Charlotte, NC 28207",897,Sold 08/25/2022,"$315,000",2,2
"2216 Colony Rd, Charlotte, NC 28209","2,364",Sold 08/25/2022,"$485,000",3,3
"1361 S Kings Dr, Charlotte, NC 28207","3,184",Sold 08/25/2022,$2.57M,4,4
"1931 Ferncliff Rd, Charlotte, NC 28211","6,030",Sold 08/24/2022,$3.84M,5,6
"248 S Colonial Ave APT 8, Charlotte, NC 28207",580,Sold 08/23/2022,"$190,000",1,1
"2130 Beverly Dr, Charlotte, NC 28207","3,405",Sold 08/19/2022,$2.00M,5,4
"2810 Selwyn Ave UNIT 116, Charlotte, NC 28209",774,Sold 08/17/2022,"$325,000",1,1
"1806 Jameston Dr, Charlotte, NC 28209",740,Sold 08/15/2022,"$340,000",2,1
"3013 Manor Rd, Charlotte, NC 28209","4,313",Sold 08/12/2022,$2.20M,5,5
"1209 S Kings Dr #2, Charlotte, NC 28207","3,665",Sold 08/12/2022,$1.75M,4,5
"2503 Roswell Ave UNIT 205, Charlotte, NC 28209",606,Sold 08/10/2022,"$205,150",1,1
"1943 Queens Rd, Charlotte, NC 28207","3,592",Sold 08/09/2022,$1.93M,4,4
"1333 Queens Rd #C4, Charlotte, NC 28207","2,820",Sold 08/09/2022,$1.37M,3,3
"2700 Rothwood Dr, Charlotte, NC 28211","4,291",Sold 08/08/2022,$1.70M,5,4
"1162 S Kings Dr, Charlotte, NC 28203","2,816",Sold 08/08/2022,$1.10M,3,4
"2001 Sherwood Ave, Charlotte, NC 28207","4,072",Sold 08/05/2022,$2.60M,5,6
"1638 Hertford Rd, Charlotte, NC 28207","2,900",Sold 08/04/2022,$1.58M,4,3
"2719 Normandy Rd, Charlotte, NC 28209","2,300",Sold 08/04/2022,$1.31M,3,3
"3525 Foxcroft Rd, Charlotte, NC 28211","6,384",Sold 08/04/2022,$3.61M,6,6.5
"3525 Foxcroft Rd #1, Charlotte, NC 28211","6,330",Sold 08/04/2022,$3.61M,6,7
"2714 Selwyn Ave, Charlotte, NC 28209","3,820",Sold 08/02/2022,$2.00M,4,4
"2410 Roswell Ave UNIT 302, Charlotte, NC 28209","2,584",Sold 07/28/2022,$1.30M,3,3
"2410 Roswell Ave, Charlotte, NC 28209","2,584",Sold 07/28/2022,$1.30M,3,3
"1922 Beverly Dr, Charlotte, NC 28207","2,812",Sold 07/27/2022,$1.45M,3,3
"1931 Queens Rd, Charlotte, NC 28207","2,345",Sold 07/27/2022,"$875,000",4,4
"352 Tranquil Ave, Charlotte, NC 28209","3,923",Sold 07/27/2022,$2.00M,5,5
"2445 Selwyn Ave APT 202, Charlotte, NC 28209","2,764",Sold 07/26/2022,"$715,000",3,3
"17115 Dogwood Ln #51, Charlotte, NC 28207","2,726",Sold 07/26/2022,"$568,865",5,3
"1715 Sterling Rd, Charlotte, NC 28209","5,800",Sold 07/25/2022,$2.92M,5,6
"1235 Wareham Ct, Charlotte, NC 28207","4,596",Sold 07/21/2022,$1.74M,5,6
"301 Queens Rd APT 107, Charlotte, NC 28204",892,Sold 07/21/2022,"$315,000",2,2
"2025 Sharon Rd, Charlotte, NC 28207","2,161",Sold 07/20/2022,$1.28M,3,2
"1831 Harris Rd, Charlotte, NC 28211","3,472",Sold 07/20/2022,$1.50M,4,4
"2816 Irby Dr, Charlotte, NC 28209","3,846",Sold 07/20/2022,$1.70M,4,5
"2331 Selwyn Ave, Charlotte, NC 28207","2,928",Sold 07/19/2022,$1.50M,3,4
"248 Tranquil Ave, Charlotte, NC 28209","3,141",Sold 07/18/2022,$1.65M,4,4
"2433 Knollwood Rd, Charlotte, NC 28211","2,820",Sold 07/18/2022,$1.17M,4,3
"2325 Pender Pl, Charlotte, NC 28209","2,595",Sold 07/14/2022,$1.43M,4,3
"2236 Overhill Rd, Charlotte, NC 28211","4,817",Sold 07/13/2022,$2.25M,5,6
"2311 Radcliffe Ave, Charlotte, NC 28207","3,902",Sold 07/11/2022,$2.23M,4,5
"1900 Shoreham Dr, Charlotte, NC 28211","3,501",Sold 07/11/2022,$1.70M,4,4
"17108 Dogwood Ln #49, Charlotte, NC 28207","2,726",Sold 07/11/2022,"$542,314",5,3
"304 Hillside Ave, Charlotte, NC 28209","2,560",Sold 07/06/2022,"$937,500",3,3
"2406 Tanglewood Ln, Charlotte, NC 28211","5,311",Sold 07/06/2022,$2.28M,5,7
"2533 Roswell Ave, Charlotte, NC 28209","3,378",Sold 06/27/2022,$1.40M,5,4
"2638 Portland Ave, Charlotte, NC 28207","3,664",Sold 06/24/2022,$1.10M,4,3
"2107 Cassamia Glen Cres, Charlotte, NC 28211","3,038",Sold 06/23/2022,$1.70M,3,3.5
"2107 Cassamia Glen Cir, Charlotte, NC 28211","3,432",Sold 06/23/2022,$1.70M,3,4
"2538 Selwyn Ave, Charlotte, NC 28209","6,720",Sold 06/22/2022,$4.50M,6,7
"2711 Tanglewood Ln, Charlotte, NC 28211","3,521",Sold 06/22/2022,$1.63M,4,4
"254 Tranquil Ave, Charlotte, NC 28209","4,899",Sold 06/21/2022,$2.60M,5,7
"2615 Sharon Rd, Charlotte, NC 28211","3,033",Sold 06/21/2022,"$825,000",4,3
"1107 S Kings Dr #4, Charlotte, NC 28207","2,814",Sold 06/21/2022,"$955,000",3,2.5
"620 Queens Rd, Charlotte, NC 28204","17,268",Sold 06/21/2022,$2.30M,--,--
"610 Queens Rd, Charlotte, NC 28204","3,289",Sold 06/21/2022,$2.30M,4,4
"1107 S Kings Dr, Charlotte, NC 28207","2,852",Sold 06/20/2022,"$955,000",4,4
"2532 Normandy Rd, Charlotte, NC 28209","2,047",Sold 06/17/2022,$1.23M,3,3
