Address,Square ft,Sale Date,Price,Beds,Baths
"3024 Holt St, Charlotte, NC 28205","1,213",Sold 09/23/2020,"$395,500",2,2
"3208 Spencer St, Charlotte, NC 28205","1,805",Sold 09/18/2020,"$590,000",3,3
"605 E 37th St, Charlotte, NC 28205","3,825",Sold 09/16/2020,"$855,000",4,3.5
"3008 Holt St, Charlotte, NC 28205",968,Sold 09/15/2020,"$250,000",2,1
"1008 Matheson Ave, Charlotte, NC 28205","2,553",Sold 09/11/2020,"$627,500",4,4
"1026 Polaris Way #6, Charlotte, NC 28205","2,279",Sold 09/11/2020,"$655,962",3,4
"3109 Whiting Ave, Charlotte, NC 28205","2,258",Sold 09/04/2020,"$615,000",3,3.5
"3109 Whiting Ave #3, Charlotte, NC 28205","2,229",Sold 09/04/2020,"$615,000",3,4
"3113 Whiting Ave #1, Charlotte, NC 28205","2,250",Sold 09/04/2020,"$683,952",3,4
"1010 Polaris Way, Charlotte, NC 28205","2,286",Sold 09/02/2020,"$646,000",3,3.5
"1010 Polaris Way #10, Charlotte, NC 28205","2,250",Sold 09/02/2020,"$645,800",3,4
"3519 Oakwood Ave, Charlotte, NC 28205","1,603",Sold 09/01/2020,"$458,000",2,3
"900 Matheson Ave, Charlotte, NC 28205","2,770",Sold 08/28/2020,"$667,000",4,4
"921 Leigh Ave, Charlotte, NC 28205","2,578",Sold 08/27/2020,"$659,000",4,3
"704 Matheson Ave, Charlotte, NC 28205",720,Sold 08/24/2020,"$285,000",2,2
"3107 Whiting Ave, Charlotte, NC 28205","2,285",Sold 08/19/2020,"$609,500",3,3.5
"3105 Whiting Ave #5, Charlotte, NC 28205","2,279",Sold 08/19/2020,"$637,900",3,4
"3107 Whiting Ave #4, Charlotte, NC 28205","2,304",Sold 08/19/2020,"$609,320",3,4
"901 Matheson Ave, Charlotte, NC 28205","2,587",Sold 08/14/2020,"$639,000",4,4
"617 E 37th St, Charlotte, NC 28205","2,471",Sold 08/07/2020,"$609,000",3,3
"2511 Pinckney Ave, Charlotte, NC 28205","2,711",Sold 07/31/2020,"$830,000",4,4
"829 E 35th St, Charlotte, NC 28205","1,260",Sold 07/28/2020,"$420,000",2,2
"3609 Oakwood Ave, Charlotte, NC 28205","2,524",Sold 07/27/2020,"$635,000",4,3
"1014 Leigh Ave, Charlotte, NC 28205","1,426",Sold 07/21/2020,"$476,500",3,2
"708 Matheson Ave, Charlotte, NC 28205",906,Sold 07/17/2020,"$220,000",2,1
"3118 Clemson Ave, Charlotte, NC 28205","2,515",Sold 07/15/2020,"$575,000",5,3
"1033 Matheson Ave, Charlotte, NC 28205",715,Sold 07/13/2020,"$290,000",2,2
"1116 E 36th St UNIT HLT0019, Charlotte, NC 28205",--,Sold 07/10/2020,"$428,445",--,--
"2907 N. Myers St., Charlotte, NC 28205","3,175",Sold 07/01/2020,"$780,000",5,4
